,text,target,target_new,username,timestamp
42,@Singtel kindly improve your internet Service ,0,1,Samerin,1562904546
43,Theres a certain satisfaction in seeing the startup that youre backing becoming a household name igloohomeco smart locks now available at singtel storesrepost smartcity smartnation smarthome ,0.7,1,Priscilla,1562903904
44,DramaSweetDreams akan datang katanyaentah after SetelahTerlafaznyaAkad kot since it ends 1Augpastu drama nana and khai baharmandaii je buat andaiian ehhhsemua arahan michael ang sehhnmpk gaya tk jadilah terminate singtel tv,-0.2,0,Samerin,1562903628
45,AIA and Singtel collaborate to drive wellness in Singapore  digitalhealth innovation healthtech medtech li fb,0.5,1,🦉ia Masna,1562899264
46,Is it just me or is singtel data really slow today I mean it was having trouble with 3G Then even though its using 4G now its still slow,-0.7,0,Priscilla,1562897965
47,fuck singtel useless piece of shit,-0.9,0,Priscilla,1562896020
48,Hi there able to share what service are you on,0.7,1,Priscilla,1562895888
49,Free and unlimited data Our analysis TPG launches disruptive mobile service in Singapore but lags on mobile experience  @opensignal @StarHub @Singtel @TPGTelecom @M1SingaporepictwittercomTjWNGpOriC,0,1,Unbound,1562895765
50,so many customers misheard my name as singtel and i can literally hear their confusion over the phone this aint new anymore ,-0.8,0,TODAY,1562894405
51,@eletsonline is pleased to welcome @Singtel as Exhibitor at 4th BFSI CTO Summit Mumbai on 29 August 2019 eletsCTOBook Your Exhibition Space Visit Website Download Brochure pictwittercomgC3aEcDdlT,0.8,1,Samerin,1562893266
52,Download A530FXXU6CSF6 June 2019 Patch for Galaxy A8 SMA530F Singapore singtel to SIN ,-0.4,0,Leonard ,1562891638
53,Hi there were concerned to learn of this Able to share with me the nature of your issue,0.8,1,🍭 Bryan 🍭 #NINEORNONE,1562890081
54,So annoyed with singtel la ,-0.8,0,Asrina Maharani,1562866946
55,@StarHubCares hi I have signed up for starhub hub club from singtel seems service worser than singtel I have a scheduled appointment for installation between 9 to 11 but still its not installed starhub technician says opennet has to open the other port an,-0.9,0,Singtel Support,1562859542
56,Recently we organised our first Women in Tech event at Singtels George Street HQ You can see how the event went down hereOur next HackerHunt is on the 24th of July Let us know  we may still be able to squeeze you in,0.6,1,Erica,1562859420
57,UGHHHH Fuck Singtel 4G Keeps disconnecting at least once a day out of nowhere Does it really hate Razer Phone 2 that much,-0.9,0,Singtel Support,1562858341
58,Its fine now thanks,0.7,1,i wuv doggo,1562858220
59,ahhhhhh benci gila sia pepagi dah maki orang please lah SingTel JUST DO R JOB PROPERLY ,0.2,1,samsung galaxy rom,1562857790
60,Singtel Assistant Officer inCharge Singapore S00 Singapore ,0,1,Azfar.M,1562856801
61,Hi there good morning to you Are you still facing this issue today,-0.2,0,edmundass💩,1562855950
62,Hi there one of our colleagues will be in touch with you later today,0.4,1,Regina Tan,1562854695
63,Anyone switched to Singtels Apple Music promo Need help here,0.1,1,MrsNobodySG🇸🇬,1562854272
64,Singtel owns Optus,0,1,Alec Pettifer,1562853015
65,TPG owned by China Optus owned by Singtel in Singapore which one will buy ,0,1,HUANG STEPHAN,1562852821
66,gotta fix your shit bruh youve been freakin useless these past few days @Singtel,-0.9,0,vendetta,1562851820
67,SingTel network is down or what I couldnt connect to my internet wifi @Singtel @SingtelSupport,-0.6,0,Unknown,1562843424
68,One has to wonder where LHYs allusions to nepotism were when he was enjoying a cushy 12year tenure as Singtel CEOIts also funnysad how the antiPAP crowd sees LHY as some white knight when I think hes just upset his son doesnt get to be crown prince ,0,1,Ian Fogg,1562835300
69,MislatelDito Telecommunity4G  NTTPLDTSmartSingtelGlobeDito3,0,1,kamisama⁷,1562834953
70,Ohhhh Okay Ill soon join the singtel clan All hail Singtel Auuuuuuuoooooooo ,0.6,1,The Banking & Finance Post,1562834543
71,Havent watched this much tennis in years I used to watch when I had Singtel  Starhub TV Wimbledon has accompanied my Oz trip this time round Come on rogerfederer ,0.4,1,samsung galaxy rom,1562829019
72,One of our colleagues will be personally looking into this and will be in touch with you tomorrow Thank you,0.7,1,Unknown,1562827123
73,Idk how many times i have to restart my Singtel router  Ffs,-0.8,0,❂ 𝙿𝚎𝚛𝚜𝚎𝚙𝚑𝚘𝚗𝚎 ❂,1562826242
74,Can you confirm no one can just call singtel support say my name IC etc and take over my number Or what if someone goes down to Singtel shop pretend to be my relatives and get a new sim card with my number Hopefully att case never happen with Singtel,-0.4,0,Karunakaran,1562825478
75,Please kindly get this resolved or I will proceed with tribunal claims and also to further on with other social media,-0.4,0,HackerTrail,1562820663
76,Please also note that I hv not agreed on any appt on 13 Jul,-0.2,0,Raigon Ickart Ryker,1562817629
77,Im getting very frustrated My monthly subscription for the fibre bundle signet miovoice miotv and mobile add up to 231 This is the kind of service I get Please waive off the subscriptions from 6 Jul till the matter is resolved as well as all the data charges incurred,-0.6,0,❣Pure Seduction❣,1562817297
78,For the next 1 week or so I will be busy making 3035 pieces of this card together with a small snack pack Ive prepared as a farewell gift for my colleagues and staff at Singtel Piggie is flying away  pictwittercomwZNihQTOaC,0,1,nüra,1562815561
79,Singtel jangan bego please,0,1,Jobs Singapore,1562815488
80,Airtel Africa debuts in Lagos in 44bn listingBusiness Daily Airtel Africas existing shareholders include Singapores Temasek Japans SoftBank Singtel and US investment firm Warburg Pincus  via @theafricamentor africabiz businesspictwittercomgHSAavxxG0,0,1,Unknown,1562814887
81,Hmm could you drop me a DM with the registered subscribers full name account number and contact number,-0.3,0,Unknown,1562814001
82,Hey there we definitely understand your concerns on this Nevertheless I would like to sincerely thank you for taking the time to share your valuable feedback with us which we will highlight to the relevant teams for future review and improvement of our services,0.9,1,Unknown,1562814001
83,Someone pls call me dumb if i renew my singtel contract AGAIN,-0.6,0,KXN,1562812321
84,Ive been asking for 4G VAS to be activated which has not still come up,0,1,🔥 Mick Minion 🍷,1562809510
85,pictwittercommIuRJHxVa6,0,1,Tweety Bird 'Democracy does not fear debate',1562801484
86,Hey there Able to share with us the addon reflected in your My Singtel App It should be under Manage AddOns,0.8,1,ヴィンス,1562801326
87,Mantap singtel kartunya3,0.8,1,❣Pure Seduction❣,1562788158
88,Ugh i knew this would happen Both my singtel  krisflyer cc shares the common limit which means i cant maximise the kf unless i clear off the singtel whenever i want to book flights using But the singtel ones are for bills,-0.7,0,Seth Horlan ★,1562783958
89,I didnt notice a name tag or ask for a name either,-0.1,0,ぱおぱお,1562779899
90,Sorry but no I dont I would rather not point people out in particular,-0.7,0,João.Dzulo,1562777841
91,ACASIA Communications Board of Directors Meeting No 82 followed by lunch  dinner date with acting CEO of Telbru @ Empire Hotel  Country Club Brunei Kg Jerudong Muara Brunei on 04 July 2019telbru singtel pldt acasia tmglobal vnpt CATpictwittercomZcwG1IHXCS,-0.6,0,Anthony Ong,1562777682
92,Thank you for sharing well check on this with the teams following up,0.3,1,Singtel Support,1562775792
93,Thanks for reply I have a mobile number on which 4G VAS needed to be activated I activated it on my Singtel app and even after 2 weeks it is not active I tried to call helpline but couldnt speak to anyone,-0.6,0,Shinn Asuka ◢ ◤,1562774041
94,Hi we are saddened to hear of your experience at one of our Retail outlets  Certainly not the impression we want to project to our customers  Able to recall the name of the staff or a description perhaps We want to feedback this to the relevant department,-0.4,0,Danny K,1562772332
95,Please note that I hv not agreed to any appointment at my premises till the waiver matter has been confirmed,-0.2,0,Erica,1562771549
96,BUSINESS Airtel Africa debuts in Lagos in 44bn listing Airtel Africas existing shareholders include Singapores Temasek Japans SoftBank Singtel and US investment firm Warburg Pincus ,0,1,Erica,1562770964
97,Hey @Singtel I had a bad experience with your staff this afternoon in the NEX Serangoon Singtel Exclusive Retailer outlet Service was rude and I was judged for being Chinese but not speaking Mandarin Perhaps you should train staff better in customer service,-0.9,0,Erica,1562770721
98,We understand your frustration and we are sorry for the inconvenience Our colleague handling your case already booked a joint onsite on your available timing which is on 13th July Both NLT and Singtel technician will be there to troubleshoot the connection,-0.6,0,Celeste Koh,1562770671
99,Thats the bad kind of number go up,-0.4,0,val,1562769015
100,@SingtelSupport your call lines are permanently answered by auto answering machines and its impossible to get across to a human being to convey ones problems I have faced a problem for Add on service but there is no resolution from Singtel and no one I ca,-0.6,0,Africa Mentor,1562766125
101,For SingaporeSingtel TV Channel 328 E Entertainment Starhub TV sorry Im not sure  if anyone knows please reply to this tweet ,-0.3,0,Singtel Support,1562766000
102,I hv lost my patience,-0.1,0,Singtel Support,1562765281
103,Singtel better fucking do something already,-0.2,0,Ch∞.♡,1562763601
104,So Singtel finally transferred our cross carriage over After a month of waiting YayThings like this shouldnt be celebrated but I am just glad it happened Both Singtel and Starhubs  follow up or have been awful,0,1,Asheesh,1562762101
105,@FirstMediaCares ngedown gak nanggung2 Hebat ya disaat dibutuhkan ngedown kek gini Ke singtel kek gini konek server luar gak bisa2  sejam jam setengah dua loh min pictwittercomg4jCKjgTyS,0,1,Asheesh,1562761754
106,Read the story on how Temasek Foundation is partnering @Singtel to help connect our vulnerable seniors with a personal telecare service  TemasekReview,0,1,Singtel Support,1562761705
107,Can try @dentcoin,0,1,farfaraway,1562761526
108,Ya but it didnt link Can you DM me,-0.1,0,❄️,1562760749
109,proceeded to link your Apple Music account to Singtel right,-0.1,0,Jamesl,1562760313
110,Dekat betul di Singtel kan ,0.1,1,Jamesl,1562760065
111,But after I clicked back and check the subscription it is still showing my previous sub with Apple,-0.3,0,ACASIA Comms,1562760042
112,Yes I clicked on the link and proceeded,-0.2,0,Singtel Support,1562758016
113,Recent Transactions  July 2019 Today I am here to share on some of my recent trades Singtel has been doing well lately but its PE is getting on the high side at 18 All eyes on its Exdividend date on 26th July  Sold some Singtel shares to pictwittercomaPiWM3XRz9,-0.3,0,Asheesh,1562757601
114,Cant believe this is actually happening in 2019,0,1,Sahgiel Yves Parcia,1562757081
115,SIMsingtel,0,1,Erica,1562754900
116,Video Fast  Easy SelfRegistration with Singtel Prepaid @Singtel eKYC identityverification ,0.9,1,Breaking News,1562754209
117,Did you received an SMS after signing up to registerlink your Apple Music account to Singtel,-0.3,0,Jamesl,1562754140
118,Thank you too for choosing Singtel ,0,1,Sahgiel Yves Parcia,1562751703
119,starhub singtel,0,1,PTK_Phoundation #️⃣🆙,1562751648
120,Thank you @Singtel for the nice discount into the Singapore National Gallery Much appreciated expat expatlifepictwittercom8qcj56RiIK,0.8,1,Asheesh,1562750445
121,Yes and I have unsubscribed with Apple I tried to But not sure if its linked,-0.8,0,BTOB Singapore 🇸🇬,1562750064
122,hmmdo you have an existing Apple Music account prior to subscribing Apple Music with Singtel And did you link your existing Apple Music account to Singtel after,-0.3,0,Erica,1562748735
123,Circles But im planning to change Singtel But Rifqis reaction is making me think twice ,0,1,Amuthan Shelby 💋,1562747501
124,Dmed,0,1,Qaizher,1562745455
125,Its there but my Apple Music subscription is still expired and asking me to resubscribe with Apple,-0.7,0,Oriocon,1562745094
126,Sad to hear that issue still persists  Im here to help Once you open My Singtel app select your Fibre Broadband service first Once the app open to your Fibre Broadband on the bottom under Help is the Connectivity Test Hope this helps,-0.3,0,Temasek,1562742634
127,Hi there you can check on My Singtel app if it is indicated under Manage Plan and  Addons then on My AddonsCheers,0.3,1,Decental Station,1562741101
128,Hi Sahgiel thanks for replying Unfortunately the problems still persist this morning Ive tried googling how to do the Connectivity Test but cant find any instructions online and I cant find any tab for Connectivity Test in the app Could you help me out please Sorry,-0.7,0,KXN,1562740123
129,Hi there sorry to hear of your experience with the WiFi If the issue still persists this morning Can try to do a Connectivity Test via My Singtel app Select your Fibre Broadband service from the list first then do the test Update us here of the outcome,-0.4,0,Sahgiel Yves Parcia,1562739516
130,Singtel Satellites footprints are best suited for diverse applications which can range from backhaul traffic for mobile networks mining industry to other verticalsTo learn more  For information  or email smlead@singtelcompictwittercomwvqnxaDrF2,0.7,1,Emir,1562738209
131,@SingTel The webchat link you sent expired before I could even click on it So not happy I need to actually talk to a real person now,-0.9,0,KXN,1562736963
132,@SingTel someone needs to respond to me now,0.1,1,James Lloyd 勞瞻斯,1562736171
133,Download SMJ730GM May 2019 Security J730GMDXU6CSF5 Singapore singtel  SIN ,0,1,KXN,1562735633
134,@SingtelMaseela @SingtelSahgiel @SingtelBabur @singtel bought the 35 roaming package but am getting messages that I now have 400 in roaming charges This needs to be sorted NOW Have messaged many times today and have had no answer,-0.9,0,TheFinance.sg,1562735552
135,@SingtelSupport How do I know if my Apple Music is subscribed with Singtel,-0.3,0,Andy Wong,1562734926
136,Setahuku Singtel kalau tdk salah pegang saham cukup gede om di Telkomsel  saya saja males paka Tsel karena faktor kerja saja makanya saya jadikan kartu ke2 ,0.7,1,梓＠VS中,1562734020
137,Singapore is investing S40 million to roll out its 5G ecosystem by 2020 rolls out commercial 5G services through Singtel Starthub M1,-0.1,0,Dean Nicolls,1562732730
138,Download G965FXXU5CSF2 June 2019 Patch for Galaxy S9 Plus SMG965F SMG965F Singapore singtel to SIN ,0.5,1,Sahgiel Yves Parcia,1562732402
139,Entah bila eh bill singtel nak clear ,0,1,Sahgiel Yves Parcia,1562732401
140,@singtel think I activated a new plan via text but now seem to have 363 dollars in roaming despite the fact I turned it off I am afraid to turn it back on in case the plan has not been activated,-0.9,0,*,1562731663
141,@Singtel Need my roaming problem fixed now,0,1,EmptyNestExpat,1562730644
142,@singtel @SingtelMaseela @SingtelSahgiel Need this situation fixed now Roaming charges because the app would not let renew before my package expired I had 250 in roaming charges the second I turned my phone on  Need this Fixed now please,-0.3,0,KXN,1562730507
143,@Singtel need help nowIn Canada and knew my roaming package was about to expire but the app wouldnt let me renew because it said I had to wait till by package expired Still wont let me renew but I have received a message saying I have 250 in roaming charg,-0.8,0,Sahgiel Yves Parcia,1562730370
144,@Singtel help In Canada and knew my roaming package was about to expire but the app wouldnt let me renew because it said I had to wait till by package expired Still wont let me renew but I have received a message saying I have 250 in roaming charges Pleas,-0.8,0,João.Dzulo,1562730300
145,@SingtelMaseela help I am in Canada and just got a message that my roaming package was going to expire I have tried to renew the package but it says it cant because I have an existing package yet Ai just got a notice that I have 250 worth of roaming charg,-0.7,0,Vishnu Rao,1562729979
146,Hahahaha SingTel Lets see,0.5,1,KXN,1562727646
147,baru tanggal 9  dah sepi amat nih  pada kemana yak bisa bangkrut nih singtel lama2,-0.6,0,Sahgiel Yves Parcia,1562727637
148,Dear @SingtelSupport @Singtel i really need your security department to address my question  what it take for other people to claim my number Essentially taking over my phone number without me knowing News about @ATT illegal number port ,-0.8,0,Sahgiel Yves Parcia,1562727540
149,Were relieved to learn this Could we clarify if our colleague was able to assist with the subscription eventually To subscribe to a Roaming Plan you may do so via My Singtel App  Roaming Manage Roaming Addons  Buy Addons We hope this info is helpful to you,0.6,1,Sabrina Tjeng,1562727381
150,Is it just me or has Singtels wifi been pretty shit these few days,-0.5,0,Sahgiel Yves Parcia,1562725497
151,Thank you for sharing with us may we clarify if you have managed to subscribe to our Data Roaming Plan via My Singtel App eventually or was our colleague able to assist on this Do let us know were here to help,0.4,1,Singtel Satellite,1562724787
152,Hi The Login ID will be your mobile number or the email address you have registered with us may I clarify if you have tried to login Do keep us posted yeah,-0.2,0,Kelly McFadzen,1562724048
153,No its only with the Singtel TV broadband is working fine,-0.7,0,Kelly McFadzen,1562721157
154,This is probably ridiculous charging by Singtel for something that weve never used even once Received a bill that charged for Mobile Broadband data excess but no one in the house uses it at all Might have to give them a call for termination tomorrow,-0.9,0,samsung galaxy rom,1562720898
155,Definitely not how we want you to feel  Able to share with us which country and the network you are connected to when incurring the Data Roaming Payperuse charges You may wish to share your details with us via DM and well followup with you from there Were here to help,0.3,1,Kelly McFadzen,1562720293
156,Download G960FXXU5CSF2 Galaxy S9 SMG960F Android pie Stable Update to Singapore singtel  SIN ,0.9,1,KXN,1562720231
157,WHAT THE FUK IS SINGTEL DOING WITH THAT SHITTY ASS WIFI,-0.8,0,Muhammad Nasir,1562716593
158,Thank you for the screenshot May I clarify if you have tried to perform a Connectivity Test The registered subscriber may do so by logging in using their OnePass account Do let us know ,0.4,1,Kiruthikan Nadarajah,1562716542
159,Hi Thank you for reaching out and sharing the screenshot with us Could we clarify if you have disabled Data Roaming Settings via My Singtel App network level,0.5,1,samsung galaxy rom,1562714675
160,@SingtelSupport please help I am not able to switch on my TV cricket World Cup is going on Not able to speak to customer support waiting in the call for more than 20 mins All 4 lights in the Singtel TV are glowing not able to do anything,-0.7,0,W4N,1562703202
161,Hi Thank you for reaching out To help identify any potential issues with your connection able to try run a Connectivity Test via My Singtel App the registered subscriber may do so by logging in with their OnePass account Do let us know the outcome of the test results,0.5,1,Kelly McFadzen,1562699223
162,Hi May I know where did you see the indication that your account is inactive In the meantime able to try run a Connectivity Test via My Singtel App this will help identify any potential issues with your connection Let us know of the outcome well be right here,0.4,1,Kelly McFadzen,1562692094
163,Hi Let us check on this with the respective teams and get back to you Appreciate your patience in the interim while we check on this Thank you,0.9,1,Kelly McFadzen,1562691659
164,Made the same switch and for roaming put @flexiroam on your sim card,-0.1,0,Kelly McFadzen,1562690867
165,For further details you can refer to guidelines for subscriber verification process in the IMDA website  Nonetheless thank you for reaching out Do let us know if you require any assistance with your Singtel services well be here yeah,0.3,1,Kelly McFadzen,1562690601
166,Hi Allow us to share that the new NRIC guidelines allow organizations to verify NRIC numbers when it is needed to verify an individuals identityFor accountspecific requests Telcos are also required by IMDA to verify the subscribers identity using NRIC number  12,0,1,Kelly McFadzen,1562690203
167,Hey whats wrong Were here to help,-0.4,0,01-138527,1562689951
168,No time frame given to me Please waive off my subscription n data charges incurred during this period from 6 Jul till the matter is resolved,-0.6,0,Flying Eagle,1562689045
169,Hi Would you be able to share with us more on the issue Also were you provided with any time frame for the followup Were here to help,0.5,1,wanderlust,1562686862
170,Till now no confirmation Really no time management @singtel,-0.8,0,Danny K,1562686850
171,Download Firmware T395XXU4CSF4 Galaxy Tab Active 2 LTE SMT395 Android 9 Singapore singtel  SIN ,-0.4,0,Singtel Support,1562686144
172,Customer Focused Commercial Contract Manager Singtel  Canberra ACT  Canberra Australia Company Singtel So Why Optus We see ourselves leading Australia in outstanding customer experience In striving to   For More Jobs  Please Go2 Our Page,0.2,1,🍟,1562685001
173,Data Roaming Plans Singapore  Starhub DataTravel vs Singtel ReadyRoam vs M1 Data Passport YahooFinancepictwittercomKTG1FQWlux,0,1,Singtel Support,1562683594
174,Texted you my phone number,0,1,Singtel Support,1562682121
175,hmmwe would like to check further on this and followup with the team Can DM me your account number,0.1,1,Dhinesh,1562680740
176,I have been following with your colleagues since one weekBut its not happeningI was given a deadline of 9th JulyI called NLT this morningBut they have not received any request to release the port till dateI need this port Asap,-0.8,0,Raigon Ickart Ryker,1562678584
177,Hi there we are concerned to hear of this Can check if one of our hotline colleagues is following up with you on this request,0.2,1,Singtel Support,1562678309
178,@SingtelSupport @Singtel its really disgusting I have been chasing with you guys to release the fiber port of my new house which was being used by the previous tenantThe previous tenant also confirmed you to release it so that I can use it Whats the probl,-0.9,0,samsung galaxy rom,1562678125
179,G ngaruh klo masih dikuasai tsel mah Coba itu buka kran utk bisa verizon singtel masuk buat jd saingan tsel dan isat biar belajar bagaimana pelayanan bagus yg sebenarnya ,-0.1,0,ً,1562678007
180,Halah selama operatornya masih tsel dan yg itu2 aja g bakal 5g rasa 5g yg ada 5g rasa 3g atau H lebih kenceng dr 5g Sudah saatnya operator luar yg bagus seperti verizon diberi izin masuk secara resmi bukan cuma invest atau singtel masuk biar tau yg lain bagus itu apa,0.2,1,Singtel Support,1562677284
181,Hi Still not able to Message Us via My Singtel app Update us here so we can followup,-0.3,0,Singtel Support,1562677034
182,Thanks to @Singtel s uninterrupted  super duper connectivity I connected to a remote machine ran through a presentation and a voice call all at once from my phone while on the go     No thanks to the surprising traffic ,-0.6,0,Dhinesh,1562675402
183,Download A520FXXUBCSF1 Galaxy A5 2017 SMA520F Android Oreo Stable Update to Singapore singtel  SIN ,0.5,1,Singtel Support,1562675326
184,@Singtel your internet speed in the early hours is pathetic cannot even play video at 360p is this intentional ,-0.9,0,Singtel Support,1562674847
185,VIDEO Increible simulador de F1 Singtel 2011 pictwittercomSGRQBMfHG5,0.9,1,Singtel Support,1562674440
186,Download A730FXXU5CSE9 Official Android 9 pie for Galaxy A8 Plus SMA730F Singapore singtel  SIN ,0.1,1,Kenrick ⚡,1562673481
187,Download Galaxy J3 Pro June 2019 Security J330GDXS3BSF5 Singapore singtel  SIN ,0,1,Singtel Support,1562672817
188,eXCUSE ME SINGTEL @Singtel @SingtelSupport hello youre giving me this shit speed when im on full bar 300ping im right next to the damn routerpictwittercomfreKlXOkMJ,-0.3,0,Singtel Support,1562671876
189,This is just the kind of repeated response I have been gettingPls note that not all scheduled maintenance impacts network Selective ones doThe customer SHOULD be informed to plan ahead Its simpleWhy cant singtel inform the customer on impacting maintenance only,-0.6,0,Singtel Support,1562671790
190,the hours of 1am to 5am You may experience intermittent internet connectivity during these periods You can find the info here  22,0.2,1,Erica,1562671668
191,Hi there We understand where you are coming from Singtel conduct regular scheduled maintenance on internet services twice a week on weekdays during the hours of 1am to 5am Where necessary we may schedule additional maintenance activities on weekdays andor weekends during 12,-0.1,0,Singtel Support,1562670386
192,Australia Telecoms Fixed  Mobile Market Report 2019 Featuring Singtel Optus Telstra TPG and Vodafone Hutchison Australia    Business,0.1,1,Erica,1562665500
193,@Singtel @SingtelSupport says they dont inform corporate clients when they do planned maintenance at nightweekendsDidnt know that the world sleeps wen Singapore doesWake up guysThere are companies that are operational 24x7  have clientslistenersworldwide ,-0.4,0,samsung galaxy rom,1562662815
194,Im still really upset that the guy at @Singtel tore off the protective plastic on my new s10e Like dude i dont even have a case yet why the hell would you do that,-0.9,0,Canberra Jobs,1562662410
195,Singtel is so stupid today,-0.8,0,Yahoo Singapore,1562654737
