,text,target,target_new
32,TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study,-0.7,0
33,I emphasize I did not make any appt I challenge u to charge me 145pictwittercomQkONwIOWBR,-0.5,0
34,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims pictwittercomSepQoSCEiK,-0.6,0
35,@TMobile @digitelco @Singtel @StarHub @ATT @sprint @Vodacom Topup any mobile phones worldwide using @Bitcoin @ethereum and @xceltokenplus 900 telecom operators in 160 countries @CoinDeskMarkets @coindesk @Cointelegraph @newsbtc @CCNMarkets @tokenpost @CNB,-0.2,0
36,Singtel takes store on the road  Mobile World Live ,0.2,1
37,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims ,-0.6,0
38,Thanks for sharing this with us  our sales agents will generally be in touch within 3 working days Able to let us know if youve still yet to receive a callback by Monday evening Well be here to help,0.8,1
39,This is really funny I hv just received a call at 1245pm from Singtel technician and ask if he can come up to my house now,0.7,1
40,singtel promo Dont trust these services Topped up 10SGD at vendor but still zero balance on prepaid HiCard Vendor refuses to reimburse and @SingTelSupport and @SingTel has endless loop helpline WasteOfTime Ripoff BadService,-0.9,0
41,Such details are quite urgent to me as Im trying to make alternative arrangements if Singtel TV is not offering the mentioned leagues Thanks ,0,1
42,This is nothing new from SingtelTv I would appreciate if you can connect me to the relevant sources to get some updates sooner pertains to Ligue 1  La Liga,-0.2,0
43,Signed up on 10 July no order id wasgiven to mepictwittercomaPxgjVbqRG,-0.6,0
44,Able to share with us when was your signup done Also is there any Order ID reflected in the email confirmation youve received,0.7,1
45,There was an automated reply to my email acknowledging my sign up and nothing else I signed up sim only plan  contract one year I didnt get any call also from SingTel Much less about service agreement,-0.8,0
46,Dapet dari tokonya Singtel kak,-0.5,0
47,Hi Able to share with us which plan did you signup for Additionally did you receive any order confirmation or a Service Agreement via email You may also wish to try checking your junkspampromotions folder just in case,0.6,1
48,Hi Are you currently facing issues with your Fibre Broadband service Do let us know well be here to help,0,1
49,Hi Are you currently still facing issues with your Fibre Broadband service Do let us know well be here to help,-0.3,0
50,Singtel Innov8 InnovfestUnbound FlashbackFriday@NeurobitTech the physiological data analytics platform impressed @singtelinnov8 with their solution As a result theyll be heading to their office to pitch their innovation to the board of investors pictwittercomVG35HyZmLm,0.7,1
51,TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study pictwittercomaKAR5b6vfl,-0.7,0
52,@Singtel ihave signed up online mobile plan a few days ago and i still havent got any updates when my new mobile plan take effect You are very inefficient,-0.9,0
53,No surprise They just started Building infrastructure take time TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study  TODAYonline ,-0.9,0
54,If I burst my data @Singtel better not charge me for it Nobody touched the phone port and they say no broadband connection,-0.8,0
55,Jadi modemnya besok gak bisa kita pakek ya sis Beli kartu di singtel aja apa ya @yuutri @jayparamita,-0.2,0
56,Hi there saw your tweet We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists And if so are you referring to home broadband or public Singtel WiFi,0,1
57,Please bear for the responsibilities of the outage and not pushing your consumer to pay for your responsibilities @Singtel,-0.4,0
58,We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists And if so are you referring to home broadband or public Singtel WiFi,-0.1,0
59,Singtel,0,1
60,Download N960FXXU3CSF9 Galaxy Note 9 SMN960F Android pie Stable Update to Singapore singtel  SIN ,0.5,1
61,IS SINGTEL WIFI DOWN OR SOMETHING CB,-0.1,0
62,@Singtel kindly improve your internet Service ,0,1
63,Theres a certain satisfaction in seeing the startup that youre backing becoming a household name igloohomeco smart locks now available at singtel storesrepost smartcity smartnation smarthome ,0.7,1
64,DramaSweetDreams akan datang katanyaentah after SetelahTerlafaznyaAkad kot since it ends 1Augpastu drama nana and khai baharmandaii je buat andaiian ehhhsemua arahan michael ang sehhnmpk gaya tk jadilah terminate singtel tv,-0.2,0
65,AIA and Singtel collaborate to drive wellness in Singapore  digitalhealth innovation healthtech medtech li fb,0.5,1
66,Is it just me or is singtel data really slow today I mean it was having trouble with 3G Then even though its using 4G now its still slow,-0.7,0
67,fuck singtel useless piece of shit,-0.9,0
68,Hi there able to share what service are you on,0.7,1
69,Free and unlimited data Our analysis TPG launches disruptive mobile service in Singapore but lags on mobile experience  @opensignal @StarHub @Singtel @TPGTelecom @M1SingaporepictwittercomTjWNGpOriC,0,1
70,so many customers misheard my name as singtel and i can literally hear their confusion over the phone this aint new anymore ,-0.8,0
71,@eletsonline is pleased to welcome @Singtel as Exhibitor at 4th BFSI CTO Summit Mumbai on 29 August 2019 eletsCTOBook Your Exhibition Space Visit Website Download Brochure pictwittercomgC3aEcDdlT,0.8,1
72,Download A530FXXU6CSF6 June 2019 Patch for Galaxy A8 SMA530F Singapore singtel to SIN ,-0.4,0
73,Hi there were concerned to learn of this Able to share with me the nature of your issue,0.8,1
74,So annoyed with singtel la ,-0.8,0
75,@StarHubCares hi I have signed up for starhub hub club from singtel seems service worser than singtel I have a scheduled appointment for installation between 9 to 11 but still its not installed starhub technician says opennet has to open the other port an,-0.9,0
76,Recently we organised our first Women in Tech event at Singtels George Street HQ You can see how the event went down hereOur next HackerHunt is on the 24th of July Let us know  we may still be able to squeeze you in,0.6,1
77,UGHHHH Fuck Singtel 4G Keeps disconnecting at least once a day out of nowhere Does it really hate Razer Phone 2 that much,-0.9,0
78,Its fine now thanks,0.7,1
79,ahhhhhh benci gila sia pepagi dah maki orang please lah SingTel JUST DO R JOB PROPERLY ,0.2,1
80,Singtel Assistant Officer inCharge Singapore S00 Singapore ,0,1
81,Hi there good morning to you Are you still facing this issue today,-0.2,0
82,Hi there good morning to you Are you still facing this issue today,-0.2,0
83,Hi there one of our colleagues will be in touch with you later today,0.4,1
84,Anyone switched to Singtels Apple Music promo Need help here,0.1,1
85,Singtel owns Optus,0,1
86,TPG owned by China Optus owned by Singtel in Singapore which one will buy ,0,1
87,gotta fix your shit bruh youve been freakin useless these past few days @Singtel,-0.9,0
88,SingTel network is down or what I couldnt connect to my internet wifi @Singtel @SingtelSupport,-0.6,0
89,One has to wonder where LHYs allusions to nepotism were when he was enjoying a cushy 12year tenure as Singtel CEOIts also funnysad how the antiPAP crowd sees LHY as some white knight when I think hes just upset his son doesnt get to be crown prince ,0,1
90,MislatelDito Telecommunity4G  NTTPLDTSmartSingtelGlobeDito3,0,1
91,Ohhhh Okay Ill soon join the singtel clan All hail Singtel Auuuuuuuoooooooo ,0.6,1
92,Havent watched this much tennis in years I used to watch when I had Singtel  Starhub TV Wimbledon has accompanied my Oz trip this time round Come on rogerfederer ,0.4,1
93,One of our colleagues will be personally looking into this and will be in touch with you tomorrow Thank you,0.7,1
94,Idk how many times i have to restart my Singtel router  Ffs,-0.8,0
95,Can you confirm no one can just call singtel support say my name IC etc and take over my number Or what if someone goes down to Singtel shop pretend to be my relatives and get a new sim card with my number Hopefully att case never happen with Singtel,-0.4,0
96,Please kindly get this resolved or I will proceed with tribunal claims and also to further on with other social media,-0.4,0
97,Please also note that I hv not agreed on any appt on 13 Jul,-0.2,0
98,Im getting very frustrated My monthly subscription for the fibre bundle signet miovoice miotv and mobile add up to 231 This is the kind of service I get Please waive off the subscriptions from 6 Jul till the matter is resolved as well as all the data charges incurred,-0.6,0
99,For the next 1 week or so I will be busy making 3035 pieces of this card together with a small snack pack Ive prepared as a farewell gift for my colleagues and staff at Singtel Piggie is flying away  pictwittercomwZNihQTOaC,0,1
100,Singtel jangan bego please,0,1
101,Airtel Africa debuts in Lagos in 44bn listingBusiness Daily Airtel Africas existing shareholders include Singapores Temasek Japans SoftBank Singtel and US investment firm Warburg Pincus  via @theafricamentor africabiz businesspictwittercomgHSAavxxG0,0,1
102,Hmm could you drop me a DM with the registered subscribers full name account number and contact number,-0.3,0
103,Hey there we definitely understand your concerns on this Nevertheless I would like to sincerely thank you for taking the time to share your valuable feedback with us which we will highlight to the relevant teams for future review and improvement of our services,0.9,1
104,Someone pls call me dumb if i renew my singtel contract AGAIN,-0.6,0
105,Ive been asking for 4G VAS to be activated which has not still come up,0,1
106,pictwittercommIuRJHxVa6,0,1
107,Hey there Able to share with us the addon reflected in your My Singtel App It should be under Manage AddOns,0.8,1
108,Mantap singtel kartunya3,0.8,1
109,Ugh i knew this would happen Both my singtel  krisflyer cc shares the common limit which means i cant maximise the kf unless i clear off the singtel whenever i want to book flights using But the singtel ones are for bills,-0.7,0
110,I didnt notice a name tag or ask for a name either,-0.1,0
111,Sorry but no I dont I would rather not point people out in particular,-0.7,0
112,ACASIA Communications Board of Directors Meeting No 82 followed by lunch  dinner date with acting CEO of Telbru @ Empire Hotel  Country Club Brunei Kg Jerudong Muara Brunei on 04 July 2019telbru singtel pldt acasia tmglobal vnpt CATpictwittercomZcwG1IHXCS,-0.6,0
113,Thank you for sharing well check on this with the teams following up,0.3,1
114,Thanks for reply I have a mobile number on which 4G VAS needed to be activated I activated it on my Singtel app and even after 2 weeks it is not active I tried to call helpline but couldnt speak to anyone,-0.6,0
115,Hi we are saddened to hear of your experience at one of our Retail outlets  Certainly not the impression we want to project to our customers  Able to recall the name of the staff or a description perhaps We want to feedback this to the relevant department,-0.4,0
116,Please note that I hv not agreed to any appointment at my premises till the waiver matter has been confirmed,-0.2,0
117,BUSINESS Airtel Africa debuts in Lagos in 44bn listing Airtel Africas existing shareholders include Singapores Temasek Japans SoftBank Singtel and US investment firm Warburg Pincus ,0,1
118,Hey @Singtel I had a bad experience with your staff this afternoon in the NEX Serangoon Singtel Exclusive Retailer outlet Service was rude and I was judged for being Chinese but not speaking Mandarin Perhaps you should train staff better in customer service,-0.9,0
119,We understand your frustration and we are sorry for the inconvenience Our colleague handling your case already booked a joint onsite on your available timing which is on 13th July Both NLT and Singtel technician will be there to troubleshoot the connection,-0.6,0
120,Thats the bad kind of number go up,-0.4,0
121,@SingtelSupport your call lines are permanently answered by auto answering machines and its impossible to get across to a human being to convey ones problems I have faced a problem for Add on service but there is no resolution from Singtel and no one I ca,-0.6,0
122,For SingaporeSingtel TV Channel 328 E Entertainment Starhub TV sorry Im not sure  if anyone knows please reply to this tweet ,-0.3,0
123,I hv lost my patience,-0.1,0
124,Singtel better fucking do something already,-0.2,0
125,So Singtel finally transferred our cross carriage over After a month of waiting YayThings like this shouldnt be celebrated but I am just glad it happened Both Singtel and Starhubs  follow up or have been awful,0,1
126,@FirstMediaCares ngedown gak nanggung2 Hebat ya disaat dibutuhkan ngedown kek gini Ke singtel kek gini konek server luar gak bisa2  sejam jam setengah dua loh min pictwittercomg4jCKjgTyS,0,1
127,Read the story on how Temasek Foundation is partnering @Singtel to help connect our vulnerable seniors with a personal telecare service  TemasekReview,0,1
128,Can try @dentcoin,0,1
129,Ya but it didnt link Can you DM me,-0.1,0
130,proceeded to link your Apple Music account to Singtel right,-0.1,0
131,Dekat betul di Singtel kan ,0.1,1
132,But after I clicked back and check the subscription it is still showing my previous sub with Apple,-0.3,0
133,Yes I clicked on the link and proceeded,-0.2,0
134,Recent Transactions  July 2019 Today I am here to share on some of my recent trades Singtel has been doing well lately but its PE is getting on the high side at 18 All eyes on its Exdividend date on 26th July  Sold some Singtel shares to pictwittercomaPiWM3XRz9,-0.3,0
135,Cant believe this is actually happening in 2019,0,1
136,SIMsingtel,0,1
137,Video Fast  Easy SelfRegistration with Singtel Prepaid @Singtel eKYC identityverification ,0.9,1
138,Did you received an SMS after signing up to registerlink your Apple Music account to Singtel,-0.3,0
139,Thank you too for choosing Singtel ,0,1
140,starhub singtel,0,1
141,Thank you @Singtel for the nice discount into the Singapore National Gallery Much appreciated expat expatlifepictwittercom8qcj56RiIK,0.8,1
142,Yes and I have unsubscribed with Apple I tried to But not sure if its linked,-0.8,0
143,hmmdo you have an existing Apple Music account prior to subscribing Apple Music with Singtel And did you link your existing Apple Music account to Singtel after,-0.3,0
144,Circles But im planning to change Singtel But Rifqis reaction is making me think twice ,0,1
145,Dmed,0,1
146,Its there but my Apple Music subscription is still expired and asking me to resubscribe with Apple,-0.7,0
147,Sad to hear that issue still persists  Im here to help Once you open My Singtel app select your Fibre Broadband service first Once the app open to your Fibre Broadband on the bottom under Help is the Connectivity Test Hope this helps,-0.3,0
148,Hi there you can check on My Singtel app if it is indicated under Manage Plan and  Addons then on My AddonsCheers,0.3,1
149,Hi Sahgiel thanks for replying Unfortunately the problems still persist this morning Ive tried googling how to do the Connectivity Test but cant find any instructions online and I cant find any tab for Connectivity Test in the app Could you help me out please Sorry,-0.7,0
150,Hi there sorry to hear of your experience with the WiFi If the issue still persists this morning Can try to do a Connectivity Test via My Singtel app Select your Fibre Broadband service from the list first then do the test Update us here of the outcome,-0.4,0
151,Singtel Satellites footprints are best suited for diverse applications which can range from backhaul traffic for mobile networks mining industry to other verticalsTo learn more  For information  or email smlead@singtelcompictwittercomwvqnxaDrF2,0.7,1
152,@SingTel The webchat link you sent expired before I could even click on it So not happy I need to actually talk to a real person now,-0.9,0
153,@SingTel someone needs to respond to me now,0.1,1
154,Download SMJ730GM May 2019 Security J730GMDXU6CSF5 Singapore singtel  SIN ,0,1
155,@SingtelMaseela @SingtelSahgiel @SingtelBabur @singtel bought the 35 roaming package but am getting messages that I now have 400 in roaming charges This needs to be sorted NOW Have messaged many times today and have had no answer,-0.9,0
156,@SingtelSupport How do I know if my Apple Music is subscribed with Singtel,-0.3,0
157,Setahuku Singtel kalau tdk salah pegang saham cukup gede om di Telkomsel  saya saja males paka Tsel karena faktor kerja saja makanya saya jadikan kartu ke2 ,0.7,1
158,Singapore is investing S40 million to roll out its 5G ecosystem by 2020 rolls out commercial 5G services through Singtel Starthub M1,-0.1,0
159,Download G965FXXU5CSF2 June 2019 Patch for Galaxy S9 Plus SMG965F SMG965F Singapore singtel to SIN ,0.5,1
160,Entah bila eh bill singtel nak clear ,0,1
161,@singtel think I activated a new plan via text but now seem to have 363 dollars in roaming despite the fact I turned it off I am afraid to turn it back on in case the plan has not been activated,-0.9,0
162,@Singtel Need my roaming problem fixed now,0,1
163,@singtel @SingtelMaseela @SingtelSahgiel Need this situation fixed now Roaming charges because the app would not let renew before my package expired I had 250 in roaming charges the second I turned my phone on  Need this Fixed now please,-0.3,0
164,@Singtel need help nowIn Canada and knew my roaming package was about to expire but the app wouldnt let me renew because it said I had to wait till by package expired Still wont let me renew but I have received a message saying I have 250 in roaming charg,-0.8,0
165,@Singtel help In Canada and knew my roaming package was about to expire but the app wouldnt let me renew because it said I had to wait till by package expired Still wont let me renew but I have received a message saying I have 250 in roaming charges Pleas,-0.8,0
166,@SingtelMaseela help I am in Canada and just got a message that my roaming package was going to expire I have tried to renew the package but it says it cant because I have an existing package yet Ai just got a notice that I have 250 worth of roaming charg,-0.7,0
167,Hahahaha SingTel Lets see,0.5,1
168,baru tanggal 9  dah sepi amat nih  pada kemana yak bisa bangkrut nih singtel lama2,-0.6,0
169,Singapore is investing S40 million to roll out its 5G ecosystem by 2020 rolls out commercial 5G services through Singtel Starthub M1,-0.1,0
170,Dear @SingtelSupport @Singtel i really need your security department to address my question  what it take for other people to claim my number Essentially taking over my phone number without me knowing News about @ATT illegal number port ,-0.8,0
171,Were relieved to learn this Could we clarify if our colleague was able to assist with the subscription eventually To subscribe to a Roaming Plan you may do so via My Singtel App  Roaming Manage Roaming Addons  Buy Addons We hope this info is helpful to you,0.6,1
172,Is it just me or has Singtels wifi been pretty shit these few days,-0.5,0
173,Thank you for sharing with us may we clarify if you have managed to subscribe to our Data Roaming Plan via My Singtel App eventually or was our colleague able to assist on this Do let us know were here to help,0.4,1
174,Hi The Login ID will be your mobile number or the email address you have registered with us may I clarify if you have tried to login Do keep us posted yeah,-0.2,0
175,No its only with the Singtel TV broadband is working fine,-0.7,0
176,This is probably ridiculous charging by Singtel for something that weve never used even once Received a bill that charged for Mobile Broadband data excess but no one in the house uses it at all Might have to give them a call for termination tomorrow,-0.9,0
177,Definitely not how we want you to feel  Able to share with us which country and the network you are connected to when incurring the Data Roaming Payperuse charges You may wish to share your details with us via DM and well followup with you from there Were here to help,0.3,1
178,Download G960FXXU5CSF2 Galaxy S9 SMG960F Android pie Stable Update to Singapore singtel  SIN ,0.9,1
179,WHAT THE FUK IS SINGTEL DOING WITH THAT SHITTY ASS WIFI,-0.8,0
180,Thank you for the screenshot May I clarify if you have tried to perform a Connectivity Test The registered subscriber may do so by logging in using their OnePass account Do let us know ,0.4,1
181,Hi Thank you for reaching out and sharing the screenshot with us Could we clarify if you have disabled Data Roaming Settings via My Singtel App network level,0.5,1
182,@SingtelSupport please help I am not able to switch on my TV cricket World Cup is going on Not able to speak to customer support waiting in the call for more than 20 mins All 4 lights in the Singtel TV are glowing not able to do anything,-0.7,0
183,Hi Thank you for reaching out To help identify any potential issues with your connection able to try run a Connectivity Test via My Singtel App the registered subscriber may do so by logging in with their OnePass account Do let us know the outcome of the test results,0.5,1
184,Hi May I know where did you see the indication that your account is inactive In the meantime able to try run a Connectivity Test via My Singtel App this will help identify any potential issues with your connection Let us know of the outcome well be right here,0.4,1
185,Hi Let us check on this with the respective teams and get back to you Appreciate your patience in the interim while we check on this Thank you,0.9,1
186,Made the same switch and for roaming put @flexiroam on your sim card,-0.1,0
187,For further details you can refer to guidelines for subscriber verification process in the IMDA website  Nonetheless thank you for reaching out Do let us know if you require any assistance with your Singtel services well be here yeah,0.3,1
188,Hi Allow us to share that the new NRIC guidelines allow organizations to verify NRIC numbers when it is needed to verify an individuals identityFor accountspecific requests Telcos are also required by IMDA to verify the subscribers identity using NRIC number  12,0,1
189,Hey whats wrong Were here to help,-0.4,0
190,No time frame given to me Please waive off my subscription n data charges incurred during this period from 6 Jul till the matter is resolved,-0.6,0
191,Hi Would you be able to share with us more on the issue Also were you provided with any time frame for the followup Were here to help,0.5,1
192,Till now no confirmation Really no time management @singtel,-0.8,0
193,Download Firmware T395XXU4CSF4 Galaxy Tab Active 2 LTE SMT395 Android 9 Singapore singtel  SIN ,-0.4,0
194,Customer Focused Commercial Contract Manager Singtel  Canberra ACT  Canberra Australia Company Singtel So Why Optus We see ourselves leading Australia in outstanding customer experience In striving to   For More Jobs  Please Go2 Our Page,0.2,1
195,Data Roaming Plans Singapore  Starhub DataTravel vs Singtel ReadyRoam vs M1 Data Passport YahooFinancepictwittercomKTG1FQWlux,0,1
196,Texted you my phone number,0,1
197,hmmwe would like to check further on this and followup with the team Can DM me your account number,0.1,1
198,I have been following with your colleagues since one weekBut its not happeningI was given a deadline of 9th JulyI called NLT this morningBut they have not received any request to release the port till dateI need this port Asap,-0.8,0
199,Hi there we are concerned to hear of this Can check if one of our hotline colleagues is following up with you on this request,0.2,1
200,@SingtelSupport @Singtel its really disgusting I have been chasing with you guys to release the fiber port of my new house which was being used by the previous tenantThe previous tenant also confirmed you to release it so that I can use it Whats the probl,-0.9,0
201,G ngaruh klo masih dikuasai tsel mah Coba itu buka kran utk bisa verizon singtel masuk buat jd saingan tsel dan isat biar belajar bagaimana pelayanan bagus yg sebenarnya ,-0.1,0
202,Halah selama operatornya masih tsel dan yg itu2 aja g bakal 5g rasa 5g yg ada 5g rasa 3g atau H lebih kenceng dr 5g Sudah saatnya operator luar yg bagus seperti verizon diberi izin masuk secara resmi bukan cuma invest atau singtel masuk biar tau yg lain bagus itu apa,0.2,1
203,Hi Still not able to Message Us via My Singtel app Update us here so we can followup,-0.3,0
204,Thanks to @Singtel s uninterrupted  super duper connectivity I connected to a remote machine ran through a presentation and a voice call all at once from my phone while on the go     No thanks to the surprising traffic ,-0.6,0
205,Download A520FXXUBCSF1 Galaxy A5 2017 SMA520F Android Oreo Stable Update to Singapore singtel  SIN ,0.5,1
206,@Singtel your internet speed in the early hours is pathetic cannot even play video at 360p is this intentional ,-0.9,0
207,VIDEO Increible simulador de F1 Singtel 2011 pictwittercomSGRQBMfHG5,0.9,1
208,Download A730FXXU5CSE9 Official Android 9 pie for Galaxy A8 Plus SMA730F Singapore singtel  SIN ,0.1,1
209,Download Galaxy J3 Pro June 2019 Security J330GDXS3BSF5 Singapore singtel  SIN ,0,1
210,eXCUSE ME SINGTEL @Singtel @SingtelSupport hello youre giving me this shit speed when im on full bar 300ping im right next to the damn routerpictwittercomfreKlXOkMJ,-0.3,0
211,This is just the kind of repeated response I have been gettingPls note that not all scheduled maintenance impacts network Selective ones doThe customer SHOULD be informed to plan ahead Its simpleWhy cant singtel inform the customer on impacting maintenance only,-0.6,0
212,the hours of 1am to 5am You may experience intermittent internet connectivity during these periods You can find the info here  22,0.2,1
213,Hi there We understand where you are coming from Singtel conduct regular scheduled maintenance on internet services twice a week on weekdays during the hours of 1am to 5am Where necessary we may schedule additional maintenance activities on weekdays andor weekends during 12,-0.1,0
214,Australia Telecoms Fixed  Mobile Market Report 2019 Featuring Singtel Optus Telstra TPG and Vodafone Hutchison Australia    Business,0.1,1
215,@Singtel @SingtelSupport says they dont inform corporate clients when they do planned maintenance at nightweekendsDidnt know that the world sleeps wen Singapore doesWake up guysThere are companies that are operational 24x7  have clientslistenersworldwide ,-0.4,0
216,Im still really upset that the guy at @Singtel tore off the protective plastic on my new s10e Like dude i dont even have a case yet why the hell would you do that,-0.9,0
217,Singtel is so stupid today,-0.8,0
218,Future Scope of 5G IoT Market by Top players like Telus Canada Bell Canada Canada Singtel ,0,1
219,I understand your frustration Im sure the team handling this issue will followup with you once it is resolve,-0.8,0
220,Oh okay thank you for the information I will try to revert the issue to Twitch,-0.1,0
221,At 5GAsia its your chance to rub shoulders with senior executives who are leading the way with 5G deployment companies like @ktcorp @RakutenUK @TMONE @docomo @Singtel will be joining us will you Register for your free pass here  pictwittercomZW7xpDhYxL,0,1
222,At 5GAsia its your chance to rub shoulders with senior executives who are leading the way with 5G deployment companies like @ktcorp @RakutenUK @TMONE @docomo @Singtel will be joining us will you Register for your free pass here  pictwittercomkOFqNj1z59,0,1
223,@singtel can never make it when problem arises,-0.2,0
224,Do singtel have a spam filter for sms coming in Just want to make sure,-0.3,0
225,Of course they are escalating But penalising me for the subscriptions n data charges when the fault doesnt lie with me I hv been incurring data charges since Saturday Another week to go,0,1
226,my wifi is down again f singtel lives,-0.1,0
227,yes already done recovery 2 times since last week I still got the message but this week I cant got the message at all,-0.6,0
228,Hi We are saddened by your tweet Is there anything we can help Do share it with us here,0.6,1
229,90110659,0,1
230,Great Thabnk you for choosing Singtel,0.9,1
231,@Singtel @SingtelSupport really disappointed with SingTel as seem they do not value customers loyalty,-0.9,0
232,Yes I can receive another sms but only from Twitch I dont get it But for Twitch with other provider it works,0.4,1
233,Im tired of repeating Please check with your customer service on mobile 9011659,-0.6,0
234,I went to singtel school of videocam to learn how to be a camsuperstar,0.2,1
235,@SingtelSupport Singtel has once again cannot make it,-0.5,0
236,Skip the queue with Singtels new digital selfregistration service for prepaid customers @hardwarezone identityverification Singtel ,-0.1,0
237,Go fuck yourself singtel ,-0.5,0
238,SingTel SGXZ74  DBS Research 20190708 Take Some Profit As Rally Could Be Losing Steam SingTel Amobee  via @SGinvestors,-0.4,0
239,In fintech Singtel has also ventured into mobile financial services such as mobile payments solution Dash  its been around for ages and still no one is using Dash except in their staff canteen,-0.1,0
240,Brokers take DBS lowers Singtel to hold after share price rally ,-0.2,0
241,singtel and it sucks,-0.8,0
242,singtel is trash ,-0.6,0
243,Literally that the ONE THING YOU GOT OUT OF THISAND YES ALWAYS HAVE BEEN A SINGTEL USERSINGTEL BE REPPIN,0.4,1
244,a singtel user we stan,0.1,1
245,Singtel Optus Pty Limited dba Optus is the second largest telecommunications company in Australia,0.1,1
246,@SingtelSupport Hi I have an issue I want to login to my Twitch account but the SMS token is not coming to my SingTel number Already tried with other account and another provider the message is coming but when to my SingTel number the message not come Can,-0.8,0
247,Alright sure Keep us posted on the outcome of this Were here to help,0.3,1
248,Hi is there anything we can assist you with,0.4,1
