,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url,label
19,TRUE,['Jokepic'],['https://pbs.twimg.com/media/Da42rN0VQAEJOQj.jpg'],FALSE,FALSE,0,[],,0,[],0,teacher_sam_sam,@M1Singapore 40 minutes later at Paragon #Jokepic.twitter.com/tZlfV2cgmv,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> 40 minutes later at Paragon <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Joke?src=hash""><s>#</s><b>Joke</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/tZlfV2cgmv"">pic.twitter.com/tZlfV2cgmv</a></p>",16-04-2018 7.42,1523864551,9.86E+17,/teacher_sam_sam/status/985785494880464897,2809850987,Samuel,,1
20,FALSE,[],[],FALSE,TRUE,1,[],9.81E+17,0,"[{'screen_name': 'harishpillay', 'user_id': '12486322'}, {'screen_name': 'sebdeckers', 'user_id': '390003276'}]",0,kickino,Generate more demand :)))),"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Generate more demand :))))</p>",09-04-2018 13.46,1523281586,9.83E+17,/kickino/status/983340363195736070,14070017,Sebastian Wieseler,,1
21,FALSE,[],[],TRUE,TRUE,0,[],9.82E+17,1,"[{'screen_name': 'Renonathan', 'user_id': '114462691'}, {'screen_name': 'lukasykl', 'user_id': '2877162607'}, {'screen_name': 'M1Singapore', 'user_id': '1095247821647732738'}]",0,winchell4,HAHAHAHA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">HAHAHAHA</p>",05-04-2018 13.44,1522935890,9.82E+17,/winchell4/status/981890407549169664,482808232,Doug Judy,,1
22,FALSE,[],[],TRUE,TRUE,0,[],9.82E+17,1,"[{'screen_name': 'winchell4', 'user_id': '482808232'}, {'screen_name': 'lukasykl', 'user_id': '2877162607'}]",0,Renonathan,Someone not happy @M1Singapore,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Someone not happy <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a></p>",05-04-2018 13.43,1522935839,9.82E+17,/Renonathan/status/981890193325146112,114462691,Reno Nathan,,0
23,FALSE,[],[],FALSE,TRUE,1,[],9.81E+17,0,"[{'screen_name': 'sebdeckers', 'user_id': '390003276'}, {'screen_name': 'IMDAsg', 'user_id': '66555688'}]",0,harishpillay,I have that as well.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I have that as well.</p>",04-04-2018 8.33,1522830830,9.81E+17,/harishpillay/status/981449754105102336,12486322,harish on wafto,,1
24,FALSE,[],[],TRUE,TRUE,1,[],9.81E+17,1,"[{'screen_name': 'harishpillay', 'user_id': '12486322'}, {'screen_name': 'IMDAsg', 'user_id': '66555688'}]",0,sebdeckers,I'm already planning to use my newly acquired @RIPE_Atlas probe to start surveying IPv6 support at local ISPs and publishing data to name & shame our slacking network operators. Hope it becomes another KPI/ranking where  aims to be number 1 .,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I'm already planning to use my newly acquired <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1150672890"" dir=""ltr"" href=""/RIPE_Atlas""><s>@</s><b>RIPE_Atlas</b></a> probe to start surveying IPv6 support at local ISPs and publishing data to name &amp; shame our slacking network operators. Hope it becomes another KPI/ranking where <img alt=""🇸🇬"" aria-label=""Emoji: Flag of Singapore"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1f8-1f1ec.png"" title=""Flag of Singapore""/> aims to be number 1 <img alt=""🥇"" aria-label=""Emoji: First place medal"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f947.png"" title=""First place medal""/>.</p>",04-04-2018 8.32,1522830767,9.81E+17,/sebdeckers/status/981449489146785792,390003276,Sebastiaan Deckers,,0
25,FALSE,[],[],TRUE,TRUE,1,[],9.81E+17,2,"[{'screen_name': 'sebdeckers', 'user_id': '390003276'}, {'screen_name': 'IMDAsg', 'user_id': '66555688'}]",0,harishpillay,"@MyRepublic is hopeless in ipv6. Been asking them for a long time. Super Internet, OTOH, is the gold standard for this.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1189748308924751873"" dir=""ltr"" href=""/MyRepublic""><s>@</s><b>MyRepublic</b></a> is hopeless in ipv6. Been asking them for a long time. Super Internet, OTOH, is the gold standard for this.</p>",04-04-2018 8.30,1522830624,9.81E+17,/harishpillay/status/981448891123093504,12486322,harish on wafto,,0
26,FALSE,[],[],TRUE,FALSE,0,['https://twitter.com/TrainingRIPENCC/status/979358265011310592'],,1,[],1,sebdeckers,Anyone offering IPv6 in  SG? I'm shopping for a better ISP. @IMDAsg @M1Singapore @MyRepublic @SingtelSupport @btptan @StarHubCares @ViewQwesthttps://twitter.com/TrainingRIPENCC/status/979358265011310592 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Anyone offering IPv6 in <img alt=""🇸🇬"" aria-label=""Emoji: Flag of Singapore"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1f8-1f1ec.png"" title=""Flag of Singapore""/> SG? I'm shopping for a better ISP. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""66555688"" dir=""ltr"" href=""/IMDAsg""><s>@</s><b>IMDAsg</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1189748308924751873"" dir=""ltr"" href=""/MyRepublic""><s>@</s><b>MyRepublic</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""628070803"" dir=""ltr"" href=""/SingtelSupport""><s>@</s><b>SingtelSupport</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""32694562"" dir=""ltr"" href=""/btptan""><s>@</s><b>btptan</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20901447"" dir=""ltr"" href=""/StarHubCares""><s>@</s><b>StarHubCares</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""442361278"" dir=""ltr"" href=""/ViewQwest""><s>@</s><b>ViewQwest</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/TrainingRIPENCC/status/979358265011310592"" dir=""ltr"" href=""https://t.co/JdiWD1y3MP"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/TrainingRIPENCC/status/979358265011310592""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/TrainingRIPENC</span><span class=""invisible"">C/status/979358265011310592</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",04-04-2018 8.14,1522829671,9.81E+17,/sebdeckers/status/981444892101627905,390003276,Sebastiaan Deckers,,0
36,TRUE,"['Singapore', 'CEO', 'KarenKooi']",['https://pbs.twimg.com/media/DrTSlh9VsAAYHbi.jpg'],FALSE,FALSE,1,['https://www.mobileworldlive.com/asia/asia-news/m1-ceo-kooi-to-step-down-in-december/'],,0,[],0,mobileworldlive,#Singapore operator @M1Singapore said its #CEO #KarenKooi will step down next month https://www.mobileworldlive.com/asia/asia-news/m1-ceo-kooi-to-step-down-in-december/ …pic.twitter.com/cEErluPAaR,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Singapore?src=hash""><s>#</s><b>Singapore</b></a> operator <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> said its <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CEO?src=hash""><s>#</s><b>CEO</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KarenKooi?src=hash""><s>#</s><b>KarenKooi</b></a> will step down next month <a class=""twitter-timeline-link"" data-expanded-url=""https://www.mobileworldlive.com/asia/asia-news/m1-ceo-kooi-to-step-down-in-december/"" dir=""ltr"" href=""https://t.co/Hv0LCFrUBW"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.mobileworldlive.com/asia/asia-news/m1-ceo-kooi-to-step-down-in-december/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">mobileworldlive.com/asia/asia-news</span><span class=""invisible"">/m1-ceo-kooi-to-step-down-in-december/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cEErluPAaR"">pic.twitter.com/cEErluPAaR</a></p>",06-11-2018 7.05,1541487943,1.06E+18,/mobileworldlive/status/1059703356392960000,23458031,Mobile World Live,,0
38,FALSE,[],[],FALSE,FALSE,0,"['https://twitter.com/kaihendry/status/918304586594623488', 'https://s.natalian.org/2018-01-16/mone.jpeg']",,0,[],0,kaihendry,"They were digging up my hood AGAIN https://twitter.com/kaihendry/status/918304586594623488 … for buried fibre today, thanks @m1singapore I'd actually prefer cheaper overhead fibre. https://s.natalian.org/2018-01-16/mone.jpeg …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">They were digging up my hood AGAIN <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/kaihendry/status/918304586594623488"" dir=""ltr"" href=""https://t.co/HpgNA5JxkR"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/kaihendry/status/918304586594623488""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/kaihendry/stat</span><span class=""invisible"">us/918304586594623488</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> for buried fibre today, thanks <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>m1singapore</strong></b></a> I'd actually prefer cheaper overhead fibre. <a class=""twitter-timeline-link"" data-expanded-url=""https://s.natalian.org/2018-01-16/mone.jpeg"" dir=""ltr"" href=""https://t.co/8L6r1zU7sC"" rel=""nofollow noopener"" target=""_blank"" title=""https://s.natalian.org/2018-01-16/mone.jpeg""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">s.natalian.org/2018-01-16/mon</span><span class=""invisible"">e.jpeg</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",16-01-2018 10.26,1516098417,9.53E+17,/kaihendry/status/953211967736635392,14742294,Kai Hendry 🇸🇬,,1
39,FALSE,[],[],TRUE,FALSE,1,[],,1,[],0,allenk1w1,@StarHub your customer service in Tampines excellent this am. @M1Singapore if yours was half as good I would not have been in Starhubs shop!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""253346744"" dir=""ltr"" href=""/StarHub""><s>@</s><b>StarHub</b></a> your customer service in Tampines excellent this am. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1095247821647732738"" dir=""ltr"" href=""/M1Singapore""><s>@</s><b><strong>M1Singapore</strong></b></a> if yours was half as good I would not have been in Starhubs shop!</p>",12-01-2018 3.25,1515727536,9.52E+17,/allenk1w1/status/951656378338238464,46659531,Allen Kelly,,1
